labels	shout	names	shook	spank	hitslap	hitobject	hitface	beathard	privileges	explained
shout	0	0	0	0	0	0	0	0	0	0
names	0.2976	0	0	0	0	0	0	0	0	0
shook	0.3477	0.2619	0	0	0	0	0	0	0	0
spank	0.3364	0.2362	0.3099	0	0	0	0	0	0	0
hitslap	0.2497	0.2761	0.2393	0.3659	0	0	0	0	0	0
hitobject	0.207	0.2546	0.174	0.2579	0.2912	0	0	0	0	0
hitface	0.2185	0.3237	0.2824	0.2772	0.3757	0.2495	0	0	0	0
beathard	0.1248	0.2052	0.1715	0.1653	0.2591	0.2703	0.2864	0	0	0
privileges	0.1602	0.12	0.1881	0.1665	0.1375	0.1289	0.1089	0.0916	0	0
explained	0.1748	0.1019	0.1079	0.117	0.1053	0.0902	0.0527	0.0458	0.293	0
