"ID","age","gender","neighborhood","annual_donation"
"rIlTxfM",54.2988309356879,"Male","Neighborhood A",60
"KUbokOQ",37.5543951006578,"Male","Neighborhood A",98
"ksGEKpd",35.9899146525146,"Female","Neighborhood A",256
"TokbALD",31.321461974054,"Male","Neighborhood A",63
"SS6vuYl",53.4316972824323,"Male","Neighborhood A",381
"xDvAUym",35.731422290839,"Female","Neighborhood B",1202
"Mu6c2Gw",51.681124320932,"Female","Neighborhood A",248
"CTMrwC4",33.5744955633454,"Female","Neighborhood A",437
"Ig0dN6n",40.9361455411815,"Female","Neighborhood A",131
"gY6LauB",39.4194750691376,"Other Identity","Neighborhood A",85
"IcYjaiV",42.3474947744848,"Female","Neighborhood A",202
"JdFLUjM",31.6398379291831,"Male","Neighborhood A",99
"fYij7Td",34.1155200749445,"Female","Neighborhood A",74
"cEV1quw",45.5336517512005,"Female","Neighborhood A",131
"DhAfDEm",31.0972685017138,"Other Identity","Neighborhood A",339
"mUycvve",37.5127923395259,"Female","Neighborhood A",256
"UNPcmM2",46.1441697448767,"Female","Neighborhood A",392
"t41HihZ",49.6582354813114,"Other Identity","Neighborhood A",151
"uyhvZhe",30.5740726700438,"Female","Neighborhood B",1488
"UzdU12x",44.6548121697521,"Female","Neighborhood B",1108
"vSfFuRZ",38.2783869470972,"Male","Neighborhood A",125
"fh6Eez3",34.428234267342,"Male","Neighborhood A",159
"07YhPv6",46.5369253778775,"Other Identity","Neighborhood A",251
"S2xNgnu",31.591954775523,"Other Identity","Neighborhood A",267
"n6wS6iY",49.9658390942365,"Male","Neighborhood A",327
"7k56ICk",31.0592576529577,"Male","Neighborhood B",1329
"tUNXyUM",38.8428311672077,"Female","Neighborhood A",69
"BMEXLjR",43.1461123339458,"Male","Neighborhood A",164
"CmfFZok",33.5267984225903,"Male","Neighborhood A",175
"uPlzaT1",33.3971523119226,"Male","Neighborhood A",464
"5QbsG4g",34.7286077239123,"Male","Neighborhood B",1080
"AtT0Xff",30.6303845103237,"Male","Neighborhood B",1382
"jZpaKXr",39.4376062097103,"Female","Neighborhood B",1410
"U1AxOSC",47.8777985988665,"Other Identity","Neighborhood A",304
"HxP140S",38.3467092115351,"Female","Neighborhood A",371
"a5xLMjh",39.3812414467852,"Male","Neighborhood A",234
"Eki2Wbs",39.3711262346796,"Male","Neighborhood A",168
"8FwriuE",32.4663824472141,"Female","Neighborhood A",79
"jkIyUc7",38.5024129138663,"Male","Neighborhood A",342
"ATuS2Z8",31.0896112816107,"Male","Neighborhood B",1087
"Q3NImsF",36.5008862748957,"Male","Neighborhood A",370
"xNwaFga",44.7382631084152,"Male","Neighborhood A",75
"5fcIACd",40.7948590252039,"Female","Neighborhood A",184
"dafWYFZ",30.2090807924619,"Female","Neighborhood A",270
"P96lSyI",34.2206214444636,"Other Identity","Neighborhood A",406
"vF1sMmj",52.048849445575,"Male","Neighborhood A",235
"LzN9yxC",46.6390039428015,"Other Identity","Neighborhood A",115
"MVf9IDc",36.1957381824534,"Female","Neighborhood A",173
"OLA0P7t",32.0746376811537,"Male","Neighborhood A",335
"QhWrcHP",36.7303367881721,"Male","Neighborhood A",81
"Hg9IoO5",34.9311071963478,"Male","Neighborhood A",85
"b5nMuFm",49.3286954797902,"Male","Neighborhood B",1089
"9az6M9o",32.0028505400676,"Male","Neighborhood A",243
"5Erstvr",39.1738688288038,"Female","Neighborhood A",186
"pS4s891",49.370415281073,"Female","Neighborhood A",300
"GQrFmRp",36.1693879585909,"Female","Neighborhood A",85
"6WUUUc4",37.4202482216531,"Other Identity","Neighborhood A",134
"uy5XjVp",45.0447370508791,"Female","Neighborhood A",95
"FWEzVyL",37.455298339496,"Male","Neighborhood A",221
"34XFK9o",32.144710474338,"Other Identity","Neighborhood A",190
"O30QMRa",34.4963135139485,"Female","Neighborhood A",217
"jzF1yJk",40.7064915326367,"Female","Neighborhood A",70
"uT4FMKk",43.453771164347,"Male","Neighborhood A",277
"XPi5yWs",37.2483395996544,"Male","Neighborhood A",293
"anqLzSi",33.901333205575,"Female","Neighborhood A",115
"9dpGWDE",34.2749806685941,"Female","Neighborhood A",225
"vRpeJqz",37.9132867138398,"Male","Neighborhood B",1381
"eB60h8K",35.781183406113,"Female","Neighborhood A",449
"n6lK1k6",35.9560502209972,"Male","Neighborhood A",437
"Wmf6DCJ",39.4551205746726,"Male","Neighborhood A",237
"0FfxIze",47.3528438410396,"Female","Neighborhood A",390
"CKPZmpz",37.9837651744335,"Other Identity","Neighborhood A",171
"7bj03Rp",32.5030071034921,"Other Identity","Neighborhood A",75
"df2NCej",34.9179742572002,"Male","Neighborhood A",70
"ROWG2Wl",45.6945676319711,"Female","Neighborhood A",478
"xthhuZH",46.2582863438549,"Male","Neighborhood A",61
"jJeTNFQ",32.8084339944398,"Other Identity","Neighborhood A",95
"HBv0kta",41.952056633172,"Female","Neighborhood A",251
"hRDLhFb",36.8030652099698,"Male","Neighborhood A",166
"XkLoXqf",33.0819765844788,"Male","Neighborhood A",478
